DEBUG 2024-06-28 17:15:29,109 autoreload File C:\Program Files\Python312\Lib\email\utils.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,109 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\db\models\fields\generated.py first seen with mtime 1719485750.6499534
DEBUG 2024-06-28 17:15:29,109 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1719485750.7285457
DEBUG 2024-06-28 17:15:29,124 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\test\testcases.py first seen with mtime 1719485750.7447784
DEBUG 2024-06-28 17:15:29,124 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\utils\choices.py first seen with mtime 1719485750.7447784
DEBUG 2024-06-28 17:15:29,125 autoreload File C:\Program Files\Python312\Lib\ctypes\__init__.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,125 autoreload File C:\Users\Asim\final2\pythonProject\createads\login\apps.py first seen with mtime 1719485988.9286032
DEBUG 2024-06-28 17:15:29,125 autoreload File C:\Program Files\Python312\Lib\xml\dom\minicompat.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,125 autoreload File C:\Program Files\Python312\Lib\zoneinfo\_common.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,125 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\contrib\admindocs\utils.py first seen with mtime 1719485748.9781282
DEBUG 2024-06-28 17:15:29,125 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\views\i18n.py first seen with mtime 1719485750.7759194
DEBUG 2024-06-28 17:15:29,125 autoreload File C:\Program Files\Python312\Lib\asyncio\locks.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,127 autoreload File C:\Users\Asim\final2\pythonProject\createads\login\models.py first seen with mtime 1719564654.7356138
DEBUG 2024-06-28 17:15:29,127 autoreload File C:\Program Files\Python312\Lib\gzip.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,127 autoreload File C:\Program Files\Python312\DLLs\_wmi.pyd first seen with mtime 1712653562.0
